ID Commande,Date Commande,Nom Client,Pays,geoID,Code Pays,Region,Segment,Date Livraison,Mode Livraison
AZ-2016-5960662,2016-01-14,Ella Troy,Éthiopie,ET,ETH,Afrique de l'Est,Home Office,2016-01-19,Economie
AZ-2016-7675351,2016-01-15,Everett Dunbar,Gabon,GA,GAB,Afrique centrale,Entreprise,2016-01-20,Economie Plus
BN-2016-3770060,2016-01-17,Georgia Bermingham,Gambie,GM,GMB,Afrique de l'Ouest,Home Office,2016-01-23,Economie
AZ-2016-1816950,2016-01-18,John Baca,Ghana,GH,GHA,Afrique de l'Ouest,Consommateur,2016-01-23,Economie Plus
AZ-2016-7419210,2016-01-18,Christopher Goold,Guinée,GN,GIN,Afrique de l'Ouest,Entreprise,2016-01-21,Prioritaire
AZ-2016-5342265,2016-01-19,Jennifer Mattingly,Guinée équatoriale,GQ,GNQ,Afrique centrale,Home Office,2016-01-20,Prioritaire
AZ-2016-3059419,2016-01-19,Kai Leonard,Guinée-Bissau,GW,GNB,Afrique de l'Ouest,Entreprise,2016-01-21,Prioritaire
AZ-2016-2002251,2016-01-20,Nathan Iqbal,Kenya,KE,KEN,Afrique de l'Est,Consommateur,2016-01-25,Economie
AZ-2016-5357101,2016-01-21,Noah Chamberlain,Lesotho,LS,LSO,Afrique australe,Consommateur,2016-01-26,Economie
AZ-2016-2245674,2016-01-22,Dylan Disney,Libéria,LR,LBR,Afrique de l'Ouest,Home Office,2016-01-26,Economie
AZ-2016-8034411,2016-01-22,Melissa Bean,Libye,LY,LBY,Afrique du Nord,Home Office,2016-01-26,Economie
BN-2016-7883641,2016-01-24,William Horton,Madagascar,MG,MDG,Afrique de l'Est,Consommateur,2016-01-26,Prioritaire
AZ-2016-6684426,2016-01-24,Vaughn Gibbs,Malawi,MW,MWI,Afrique australe,Home Office,2016-01-26,Economie Plus
AZ-2016-4205736,2016-01-25,David Harney,Mali,ML,MLI,Afrique de l'Ouest,Entreprise,2016-02-01,Economie
AZ-2016-5010109,2016-01-25,Walter Coley,Maroc,MA,MAR,Afrique du Nord,Consommateur,2016-01-30,Economie
BN-2016-6722454,2016-01-26,Joseph Locke,Maurice,MU,MUS,Afrique de l'Est,Entreprise,2016-01-30,Economie
AZ-2016-5708655,2016-01-26,Hayley Baldwinson,Mauritanie,MR,MRT,Afrique du Nord,Consommateur,2016-01-30,Economie
AZ-2016-201891,2016-01-26,Lori Miller,Mozambique,MZ,MOZ,Afrique australe,Consommateur,2016-01-30,Economie
BN-2016-486854,2016-01-28,Gracie Hicks,Namibie,NA,NAM,Afrique australe,Consommateur,2016-02-03,Economie
AZ-2016-2825684,2016-02-01,Hollie Norris,Niger,NE,NER,Afrique de l'Ouest,Consommateur,2016-02-07,Economie
AZ-2016-494581,2016-02-01,Kiara Allen,Nigeria,NG,NGA,Afrique de l'Ouest,Consommateur,2016-02-05,Economie
BN-2016-2468159,2016-02-02,Brandon Preston,Ouganda,UG,UGA,Afrique de l'Est,Consommateur,2016-02-06,Economie
AZ-2016-838467,2016-02-02,Ronald Everson,République centrafricaine,CF,CAF,Afrique centrale,Entreprise,2016-02-05,Prioritaire
AZ-2016-7043718,2016-02-02,Winnie Moss,Rwanda,RW,RWA,Afrique de l'Est,Consommateur,2016-02-07,Economie Plus
AZ-2016-4614904,2016-02-02,Caleb Kenyon,São Tomé and Príncipe,ST,STP,Afrique centrale,Entreprise,2016-02-04,Prioritaire
BN-2016-9336144,2016-02-02,Lara Stoate,Sénégal,SN,SEN,Afrique de l'Ouest,Entreprise,2016-02-02,Immédiate
AZ-2016-4987681,2016-02-02,Daryl Claypool,Seychelles,SC,SYC,Afrique de l'Est,Entreprise,2016-02-06,Economie Plus
AZ-2016-4696725,2016-02-02,Courtney Hancock,Sierra Leone,SL,SLE,Afrique de l'Ouest,Consommateur,2016-02-04,Prioritaire
BN-2016-7087921,2016-02-03,Max Ludwig,Somalie,SO,SOM,Afrique de l'Est,Home Office,2016-02-05,Economie Plus
AZ-2016-6835828,2016-02-04,Summer Hayward,Soudan,SD,SDN,Afrique de l'Est,Consommateur,2016-02-08,Economie
AZ-2016-2397035,2016-02-07,Millie Newman,Soudan du Sud,SS,SSD,Afrique de l'Est,Consommateur,2016-02-11,Economie
AZ-2016-9421435,2016-02-07,Larry Klaus,Tchad,TD,TCD,Afrique centrale,Entreprise,2016-02-12,Economie
AZ-2016-2956456,2016-02-08,Shelby Dunston,Togo,TG,TGO,Afrique centrale,Consommateur,2016-02-13,Economie
AZ-2016-5195846,2016-02-09,Patricia Lukes,Tunisie,TN,TUN,Afrique du Nord,Entreprise,2016-02-13,Economie
AZ-2016-9107304,2016-02-09,Erin Gill,UR of Tanzania,TZ,TZA,Afrique de l'Est,Home Office,2016-02-14,Economie
AZ-2016-2606042,2016-02-09,Piper Wilder-Neligan,Zambie,ZM,ZMB,Afrique australe,Consommateur,2016-02-09,Immédiate
BN-2016-3032749,2016-02-10,Victoria Bell,Zimbabwe,ZW,ZWE,Afrique australe,Home Office,2016-02-10,Immédiate
AZ-2016-5676694,2016-02-10,Jasmine Slater,Afrique du Sud,ZA,ZAF,Afrique australe,Entreprise,2016-02-15,Economie
AZ-2016-7255147,2016-02-10,Lilian Macredie,Algérie,DZ,DZA,Afrique du Nord,Entreprise,2016-02-14,Economie
AZ-2016-819110,2016-02-10,Charlotte Taylor,Angola,AO,AGO,Afrique australe,Consommateur,2016-02-14,Economie
AZ-2016-6048331,2016-02-14,Kayleigh Farmer,Bénin,BJ,BEN,Afrique de l'Ouest,Consommateur,2016-02-19,Economie Plus
BN-2016-493873,2016-02-15,Tyson Ebden,Botswana,BW,BWA,Afrique australe,Consommateur,2016-02-20,Economie
BN-2016-408191,2016-02-15,Sophie Franklin,Burkina Faso,BF,BFA,Afrique de l'Ouest,Entreprise,2016-02-21,Economie
BN-2016-307477,2016-02-16,Maya O'Sullivan,Burundi,BI,BDI,Afrique centrale,Entreprise,2016-02-19,Economie Plus
AZ-2016-9155070,2016-02-18,Julian Mack,Cabo Verde,CV,CPV,Afrique de l'Ouest,Consommateur,2016-02-23,Economie
AZ-2016-2939440,2016-02-18,Tegan Savage,Cameroun,CM,CMR,Afrique centrale,Consommateur,2016-02-22,Economie Plus
AZ-2016-8122214,2016-02-18,Ronald Everson,Comores,KM,COM,Afrique de l'Est,Entreprise,2016-02-24,Economie
AZ-2016-2270958,2016-02-21,Eva Hargraves,Congo,CG,COG,Afrique centrale,Consommateur,2016-02-26,Economie
BN-2016-555099,2016-02-21,Jonathan Summons,Côte d'Ivoire,CI,CIV,Afrique de l'Ouest,Consommateur,2016-02-25,Economie
BN-2016-5307099,2016-02-22,Jared Wurster,Djibouti,DJ,DJI,Afrique de l'Est,Consommateur,2016-02-27,Economie
AZ-2016-6186921,2016-02-22,Katherine Grant,DR Congo,CD,COD,Afrique centrale,Consommateur,2016-02-24,Economie Plus
AZ-2016-8091357,2016-02-22,Darcy Farnell,Egypte,EG,EGY,Afrique du Nord,Consommateur,2016-02-26,Economie
BN-2016-8574171,2016-02-23,Kayla Ronald,Érythrée,ER,ERI,Afrique de l'Est,Entreprise,2016-02-28,Economie
AZ-2016-8279503,2016-02-24,Angus Reading,Éthiopie,ET,ETH,Afrique de l'Est,Entreprise,2016-02-28,Economie
BN-2016-3728079,2016-02-26,Jodie Mellor,Gabon,GA,GAB,Afrique centrale,Consommateur,2016-03-04,Economie
AZ-2016-8074602,2016-03-01,Caleb Kenyon,Gambie,GM,GMB,Afrique de l'Ouest,Entreprise,2016-03-05,Economie
AZ-2016-2777408,2016-03-01,Maya Summers,Ghana,GH,GHA,Afrique de l'Ouest,Home Office,2016-03-04,Economie Plus
AZ-2016-1410648,2016-03-01,Carl Proctor,Guinée,GN,GIN,Afrique de l'Ouest,Consommateur,2016-03-05,Economie
AZ-2016-7903656,2016-03-01,Angus De Groot,Guinée équatoriale,GQ,GNQ,Afrique centrale,Entreprise,2016-03-06,Economie
AZ-2016-496083,2016-03-01,Spencer Akhtar,Guinée-Bissau,GW,GNB,Afrique de l'Ouest,Consommateur,2016-03-05,Economie
AZ-2016-4069925,2016-03-01,Oscar Clayton,Kenya,KE,KEN,Afrique de l'Est,Consommateur,2016-03-08,Economie
AZ-2016-6969006,2016-03-03,Lincoln Want,Lesotho,LS,LSO,Afrique australe,Consommateur,2016-03-09,Economie
AZ-2016-5822789,2016-03-07,Niamh Mann,Libéria,LR,LBR,Afrique de l'Ouest,Consommateur,2016-03-08,Prioritaire
AZ-2016-7677596,2016-03-08,Nicole Nash,Libye,LY,LBY,Afrique du Nord,Consommateur,2016-03-13,Economie
AZ-2016-3190941,2016-03-09,Joshua Romero,Madagascar,MG,MDG,Afrique de l'Est,Consommateur,2016-03-12,Prioritaire
AZ-2016-9147715,2016-03-10,Ryan Greenwood,Malawi,MW,MWI,Afrique australe,Consommateur,2016-03-14,Economie
AZ-2016-1278696,2016-03-10,Naomi Hancock,Mali,ML,MLI,Afrique de l'Ouest,Entreprise,2016-03-17,Economie
AZ-2016-5422408,2016-03-10,John Kemp,Maroc,MA,MAR,Afrique du Nord,Home Office,2016-03-10,Immédiate
AZ-2016-3714764,2016-03-11,Ashton Charles,Maurice,MU,MUS,Afrique de l'Est,Consommateur,2016-03-15,Economie
AZ-2016-8295770,2016-03-11,Thomas Stephens,Mauritanie,MR,MRT,Afrique du Nord,Entreprise,2016-03-14,Prioritaire
AZ-2016-7682838,2016-03-12,Joseph Ford,Mozambique,MZ,MOZ,Afrique australe,Entreprise,2016-03-17,Economie
AZ-2016-4612792,2016-03-12,Shannon Howe,Namibie,NA,NAM,Afrique australe,Consommateur,2016-03-19,Economie
AZ-2016-5265250,2016-03-14,Donna Nash,Niger,NE,NER,Afrique de l'Ouest,Entreprise,2016-03-19,Economie Plus
AZ-2016-6222257,2016-03-14,Koby Phillip,Nigeria,NG,NGA,Afrique de l'Ouest,Consommateur,2016-03-16,Prioritaire
AZ-2016-823697,2016-03-14,Thomas McCallum,Ouganda,UG,UGA,Afrique de l'Est,Consommateur,2016-03-17,Economie Plus
AZ-2016-9700826,2016-03-14,Alexander Bennett,République centrafricaine,CF,CAF,Afrique centrale,Entreprise,2016-03-18,Economie
BN-2016-1399750,2016-03-15,Wanda Wingert,Rwanda,RW,RWA,Afrique de l'Est,Consommateur,2016-03-15,Immédiate
AZ-2016-254910,2016-03-16,Scarlett Truchanas,São Tomé and Príncipe,ST,STP,Afrique centrale,Entreprise,2016-03-21,Economie
AZ-2016-8252363,2016-03-17,Jessica Paramor,Sénégal,SN,SEN,Afrique de l'Ouest,Entreprise,2016-03-23,Economie
AZ-2016-4707711,2016-03-18,Sam Wood,Seychelles,SC,SYC,Afrique de l'Est,Home Office,2016-03-20,Prioritaire
AZ-2016-1584987,2016-03-18,Charlie Brooks,Sierra Leone,SL,SLE,Afrique de l'Ouest,Consommateur,2016-03-22,Economie
BN-2016-7253620,2016-03-21,Kayla Ronald,Somalie,SO,SOM,Afrique de l'Est,Entreprise,2016-03-27,Economie
AZ-2016-7024596,2016-03-21,Kayla Tearle,Soudan,SD,SDN,Afrique de l'Est,Entreprise,2016-03-25,Economie
AZ-2016-7499604,2016-03-21,Gabriel Sanders,Soudan du Sud,SS,SSD,Afrique de l'Est,Consommateur,2016-03-26,Economie
AZ-2016-2169445,2016-03-21,Aaron Bootman,Tchad,TD,TCD,Afrique centrale,Consommateur,2016-03-24,Prioritaire
AZ-2016-1916360,2016-03-21,Charles Builder,Togo,TG,TGO,Afrique centrale,Consommateur,2016-03-23,Economie Plus
AZ-2016-6314494,2016-03-22,Mary Wilson,Tunisie,TN,TUN,Afrique du Nord,Consommateur,2016-03-27,Economie Plus
AZ-2016-3556179,2016-03-23,Paige Horsfall,UR of Tanzania,TZ,TZA,Afrique de l'Est,Home Office,2016-03-27,Economie
AZ-2016-8308381,2016-03-24,Lily Tyler,Zambie,ZM,ZMB,Afrique australe,Home Office,2016-03-27,Prioritaire
BN-2016-8211228,2016-03-25,Sharon Kerley,Zimbabwe,ZW,ZWE,Afrique australe,Consommateur,2016-03-30,Economie Plus
AZ-2016-5004051,2016-03-25,Charlie Wells,Afrique du Sud,ZA,ZAF,Afrique australe,Home Office,2016-03-27,Economie Plus
AZ-2016-8738856,2016-03-25,Anthony Stewart,Algérie,DZ,DZA,Afrique du Nord,Home Office,2016-03-27,Prioritaire
AZ-2016-9505872,2016-03-25,Edward Zwar,Angola,AO,AGO,Afrique australe,Consommateur,2016-03-27,Economie Plus
BN-2016-9474783,2016-03-26,Benjamin Humphries,Bénin,BJ,BEN,Afrique de l'Ouest,Consommateur,2016-04-01,Economie
AZ-2016-5185285,2016-03-26,Samuel Thomas,Botswana,BW,BWA,Afrique australe,Consommateur,2016-03-28,Prioritaire
BN-2016-6425274,2016-03-28,Luca Graham,Burkina Faso,BF,BFA,Afrique de l'Ouest,Consommateur,2016-04-02,Economie
AZ-2016-4565223,2016-03-28,Morgan Anderson,Burundi,BI,BDI,Afrique centrale,Entreprise,2016-04-01,Economie
BN-2016-2502895,2016-03-29,Juanita Smalls,Cabo Verde,CV,CPV,Afrique de l'Ouest,Home Office,2016-04-04,Economie
AZ-2016-8743509,2016-03-29,Chelsea Bannister,Cameroun,CM,CMR,Afrique centrale,Consommateur,2016-03-30,Prioritaire
AZ-2016-8369879,2016-03-30,Alexis Code,Comores,KM,COM,Afrique de l'Est,Entreprise,2016-04-03,Economie
BN-2016-2967562,2016-03-31,Angus De Groot,Congo,CG,COG,Afrique centrale,Entreprise,2016-04-06,Economie
AZ-2016-8060803,2016-03-31,Adam Bentley,Côte d'Ivoire,CI,CIV,Afrique de l'Ouest,Consommateur,2016-04-04,Economie
AZ-2016-5463300,2016-03-31,Toby Conway,Djibouti,DJ,DJI,Afrique de l'Est,Consommateur,2016-04-04,Economie
BN-2016-6893107,2016-04-01,Kayla Tearle,DR Congo,CD,COD,Afrique centrale,Entreprise,2016-04-04,Prioritaire
AZ-2016-8060550,2016-04-01,Harry Nelson,Egypte,EG,EGY,Afrique du Nord,Consommateur,2016-04-04,Prioritaire
AZ-2016-9409671,2016-04-04,Aaron Bootman,Érythrée,ER,ERI,Afrique de l'Est,Consommateur,2016-04-09,Economie
AZ-2016-7089649,2016-04-04,Daryl Claypool,Éthiopie,ET,ETH,Afrique de l'Est,Entreprise,2016-04-09,Economie
AZ-2016-7659767,2016-04-04,Alexandra Macdonald,Gabon,GA,GAB,Afrique centrale,Entreprise,2016-04-06,Prioritaire
AZ-2016-3089735,2016-04-05,Alexandra Macdonald,Gambie,GM,GMB,Afrique de l'Ouest,Entreprise,2016-04-09,Economie
AZ-2016-3293357,2016-04-06,Skye McCaffrey,Ghana,GH,GHA,Afrique de l'Ouest,Consommateur,2016-04-12,Economie
AZ-2016-5817638,2016-04-06,Michelle Barrett,Guinée,GN,GIN,Afrique de l'Ouest,Consommateur,2016-04-10,Economie
AZ-2016-2762983,2016-04-07,David Harney,Guinée équatoriale,GQ,GNQ,Afrique centrale,Entreprise,2016-04-11,Economie Plus
AZ-2016-7072417,2016-04-07,Evie Rees,Guinée-Bissau,GW,GNB,Afrique de l'Ouest,Consommateur,2016-04-13,Economie
BN-2016-5443120,2016-04-09,Kaitlyn Dorsch,Kenya,KE,KEN,Afrique de l'Est,Entreprise,2016-04-11,Economie Plus
AZ-2016-3885003,2016-04-11,Logan Tilley,Lesotho,LS,LSO,Afrique australe,Consommateur,2016-04-13,Economie Plus
AZ-2016-107716,2016-04-11,Corey Norton,Libéria,LR,LBR,Afrique de l'Ouest,Consommateur,2016-04-16,Economie
BN-2016-6178410,2016-04-12,Molly Palmer,Libye,LY,LBY,Afrique du Nord,Entreprise,2016-04-13,Prioritaire
AZ-2016-4173505,2016-04-12,Owen Howell,Madagascar,MG,MDG,Afrique de l'Est,Home Office,2016-04-16,Economie Plus
AZ-2016-1546153,2016-04-14,Nicholas Carey,Malawi,MW,MWI,Afrique australe,Consommateur,2016-04-18,Economie
AZ-2016-122598,2016-04-14,Eve Bates,Mali,ML,MLI,Afrique de l'Ouest,Consommateur,2016-04-17,Prioritaire
AZ-2016-231889,2016-04-15,Molly Palmer,Maroc,MA,MAR,Afrique du Nord,Entreprise,2016-04-17,Economie Plus
BN-2016-7646735,2016-04-16,Gerald Galvan,Maurice,MU,MUS,Afrique de l'Est,Entreprise,2016-04-21,Economie
AZ-2016-3304186,2016-04-18,Benjamin Lee,Mauritanie,MR,MRT,Afrique du Nord,Entreprise,2016-04-20,Economie Plus
BN-2016-1677989,2016-04-18,Alexander Bennett,Mozambique,MZ,MOZ,Afrique australe,Entreprise,2016-04-25,Economie
AZ-2016-9598217,2016-04-18,Donald Pak,Namibie,NA,NAM,Afrique australe,Entreprise,2016-04-22,Economie
AZ-2016-4613853,2016-04-19,Mackenzie Whitford,Niger,NE,NER,Afrique de l'Ouest,Consommateur,2016-04-24,Economie Plus
AZ-2016-332801,2016-04-19,Koby Tompson,Nigeria,NG,NGA,Afrique de l'Ouest,Consommateur,2016-04-25,Economie
BN-2016-5751868,2016-04-20,Amy Nixon,Ouganda,UG,UGA,Afrique de l'Est,Consommateur,2016-04-27,Economie
AZ-2016-804486,2016-04-20,Eve Spencer,République centrafricaine,CF,CAF,Afrique centrale,Consommateur,2016-04-26,Economie
AZ-2016-6557147,2016-04-20,Sofia de Castella,Rwanda,RW,RWA,Afrique de l'Est,Consommateur,2016-04-26,Economie
AZ-2016-252578,2016-04-21,Sebastian McClelland,São Tomé and Príncipe,ST,STP,Afrique centrale,Consommateur,2016-04-26,Economie
AZ-2016-643323,2016-04-22,Luca Varley,Sénégal,SN,SEN,Afrique de l'Ouest,Entreprise,2016-04-26,Economie
BN-2016-2002150,2016-04-25,Tara Hines,Seychelles,SC,SYC,Afrique de l'Est,Consommateur,2016-04-30,Economie
BN-2016-5290627,2016-04-26,Kristal McCaslin,Sierra Leone,SL,SLE,Afrique de l'Ouest,Entreprise,2016-05-02,Economie
BN-2016-7884993,2016-04-26,Gracie Powell,Somalie,SO,SOM,Afrique de l'Est,Consommateur,2016-04-27,Immédiate
AZ-2016-5690380,2016-04-26,Jay Andrews,Soudan,SD,SDN,Afrique de l'Est,Consommateur,2016-04-30,Economie
AZ-2016-1362591,2016-04-26,Ava Giles,Soudan du Sud,SS,SSD,Afrique de l'Est,Entreprise,2016-05-01,Economie
BN-2016-357064,2016-04-27,William Somerville,Tchad,TD,TCD,Afrique centrale,Entreprise,2016-05-02,Economie
AZ-2016-8844789,2016-04-27,Lori Miller,Togo,TG,TGO,Afrique centrale,Consommateur,2016-05-03,Economie
BN-2016-5672017,2016-04-27,Louie Knight,Tunisie,TN,TUN,Afrique du Nord,Consommateur,2016-05-03,Economie
AZ-2016-5098375,2016-04-27,Mariam McMeckan,UR of Tanzania,TZ,TZA,Afrique de l'Est,Entreprise,2016-05-02,Economie
AZ-2016-4159708,2016-04-28,Jodie Garner,Zambie,ZM,ZMB,Afrique australe,Consommateur,2016-05-04,Economie
AZ-2016-1372644,2016-04-29,Imogen Daly,Zimbabwe,ZW,ZWE,Afrique australe,Consommateur,2016-05-05,Economie
AZ-2016-3114201,2016-04-29,Mohammed Fox,Afrique du Sud,ZA,ZAF,Afrique australe,Consommateur,2016-05-03,Economie
AZ-2016-5801302,2016-04-29,Leslie Wilson,Algérie,DZ,DZA,Afrique du Nord,Consommateur,2016-05-01,Prioritaire
AZ-2016-7804688,2016-04-29,Jacob Roemer,Angola,AO,AGO,Afrique australe,Entreprise,2016-05-03,Economie
AZ-2016-2564570,2016-04-29,Charlotte Taylor,Bénin,BJ,BEN,Afrique de l'Ouest,Consommateur,2016-05-03,Economie
AZ-2016-6133674,2016-04-29,Melody Nelson,Botswana,BW,BWA,Afrique australe,Entreprise,2016-05-03,Economie
AZ-2016-1672552,2016-05-02,Sam French,Burkina Faso,BF,BFA,Afrique de l'Ouest,Consommateur,2016-05-09,Economie
AZ-2016-7732593,2016-05-02,Eileen Walker,Burundi,BI,BDI,Afrique centrale,Consommateur,2016-05-06,Economie
AZ-2016-3348631,2016-05-03,Ebony Sadlier,Cabo Verde,CV,CPV,Afrique de l'Ouest,Entreprise,2016-05-07,Economie Plus
AZ-2016-6843566,2016-05-04,Edward Webber,Cameroun,CM,CMR,Afrique centrale,Home Office,2016-05-08,Economie
AZ-2016-9958697,2016-05-04,Dylan Disney,Comores,KM,COM,Afrique de l'Est,Home Office,2016-05-09,Economie
AZ-2016-6807336,2016-05-04,Philip Newsom,Congo,CG,COG,Afrique centrale,Entreprise,2016-05-10,Economie
AZ-2016-821395,2016-05-04,Rose Heap,Côte d'Ivoire,CI,CIV,Afrique de l'Ouest,Consommateur,2016-05-07,Economie Plus
AZ-2016-7976569,2016-05-04,Toby Clunie,Djibouti,DJ,DJI,Afrique de l'Est,Consommateur,2016-05-08,Economie
BN-2016-8990099,2016-05-05,John Kemp,DR Congo,CD,COD,Afrique centrale,Home Office,2016-05-11,Economie
AZ-2016-6172786,2016-05-05,Louis Scott,Egypte,EG,EGY,Afrique du Nord,Entreprise,2016-05-10,Economie
AZ-2016-3973701,2016-05-06,Eva Arnold,Érythrée,ER,ERI,Afrique de l'Est,Consommateur,2016-05-08,Prioritaire
BN-2016-4790136,2016-05-07,Richard Poole,Éthiopie,ET,ETH,Afrique de l'Est,Home Office,2016-05-12,Economie Plus
AZ-2016-5289752,2016-05-07,Lisa Watkins,Gabon,GA,GAB,Afrique centrale,Consommateur,2016-05-09,Economie Plus
BN-2016-7286308,2016-05-09,Patricia Smith,Gambie,GM,GMB,Afrique de l'Ouest,Entreprise,2016-05-12,Prioritaire
BN-2016-827720,2016-05-09,Ewan Hyde,Ghana,GH,GHA,Afrique de l'Ouest,Consommateur,2016-05-14,Economie
BN-2016-8234232,2016-05-10,Erick Tanner,Guinée,GN,GIN,Afrique de l'Ouest,Entreprise,2016-05-12,Economie Plus
BN-2016-8749099,2016-05-10,Phoebe Moore,Guinée équatoriale,GQ,GNQ,Afrique centrale,Entreprise,2016-05-10,Immédiate
AZ-2016-7847155,2016-05-10,Denise Harris,Guinée-Bissau,GW,GNB,Afrique de l'Ouest,Consommateur,2016-05-14,Economie
AZ-2016-2112563,2016-05-10,Francesca Bowen,Kenya,KE,KEN,Afrique de l'Est,Consommateur,2016-05-15,Economie
BN-2016-1627157,2016-05-11,Viola Watson,Lesotho,LS,LSO,Afrique australe,Consommateur,2016-05-15,Economie Plus
BN-2016-7737747,2016-05-12,Patrick Townson,Libéria,LR,LBR,Afrique de l'Ouest,Home Office,2016-05-14,Prioritaire
AZ-2016-6296469,2016-05-12,Maddison Newman,Libye,LY,LBY,Afrique du Nord,Entreprise,2016-05-17,Economie
AZ-2016-7005483,2016-05-13,Robert James,Madagascar,MG,MDG,Afrique de l'Est,Home Office,2016-05-17,Economie
AZ-2016-6532640,2016-05-13,Jason Roger,Malawi,MW,MWI,Afrique australe,Entreprise,2016-05-15,Economie Plus
AZ-2016-2189408,2016-05-15,Edward Hodges,Mali,ML,MLI,Afrique de l'Ouest,Consommateur,2016-05-19,Economie Plus
BN-2016-815729,2016-05-16,Ralph Holmes,Maroc,MA,MAR,Afrique du Nord,Consommateur,2016-05-21,Economie
AZ-2016-9083887,2016-05-17,Tina Phelps,Maurice,MU,MUS,Afrique de l'Est,Consommateur,2016-05-23,Economie
BN-2016-5141814,2016-05-18,Gabriel Sanders,Mauritanie,MR,MRT,Afrique du Nord,Consommateur,2016-05-25,Economie
AZ-2016-7326281,2016-05-18,Maddison Breen,Mozambique,MZ,MOZ,Afrique australe,Entreprise,2016-05-22,Economie
AZ-2016-1366554,2016-05-18,Rebecca Chamberlain,Namibie,NA,NAM,Afrique australe,Home Office,2016-05-18,Immédiate
AZ-2016-3434177,2016-05-18,Ryan Price,Niger,NE,NER,Afrique de l'Ouest,Consommateur,2016-05-24,Economie
AZ-2016-309750,2016-05-19,Milla Hollinworth,Nigeria,NG,NGA,Afrique de l'Ouest,Entreprise,2016-05-23,Economie
AZ-2016-6212291,2016-05-19,Henry Chandler,Ouganda,UG,UGA,Afrique de l'Est,Home Office,2016-05-21,Economie Plus
BN-2016-553410,2016-05-21,Bianca Monsoor,République centrafricaine,CF,CAF,Afrique centrale,Consommateur,2016-05-25,Economie Plus
AZ-2016-1474073,2016-05-21,Mary Parker,Rwanda,RW,RWA,Afrique de l'Est,Entreprise,2016-05-27,Economie
BN-2016-5294325,2016-05-25,Angus Reading,São Tomé and Príncipe,ST,STP,Afrique centrale,Entreprise,2016-05-29,Economie
AZ-2016-8742773,2016-05-26,Alana Zahel,Sénégal,SN,SEN,Afrique de l'Ouest,Consommateur,2016-05-28,Prioritaire
AZ-2016-3247022,2016-05-26,Louis Wilson,Seychelles,SC,SYC,Afrique de l'Est,Consommateur,2016-06-02,Economie
AZ-2016-8973571,2016-05-26,Lily Dallachy,Sierra Leone,SL,SLE,Afrique de l'Ouest,Entreprise,2016-05-30,Economie
AZ-2016-2598415,2016-05-27,Lincoln Want,Somalie,SO,SOM,Afrique de l'Est,Consommateur,2016-05-30,Prioritaire
BN-2016-602308,2016-05-27,Mariam McMeckan,Soudan,SD,SDN,Afrique de l'Est,Entreprise,2016-05-30,Prioritaire
AZ-2016-4835209,2016-05-27,Esther Henderson,Soudan du Sud,SS,SSD,Afrique de l'Est,Consommateur,2016-05-31,Economie
AZ-2016-5869323,2016-05-28,Elijah Sodeman,Tchad,TD,TCD,Afrique centrale,Consommateur,2016-06-02,Economie
BN-2016-6162681,2016-05-30,Angus Ibsch,Togo,TG,TGO,Afrique centrale,Consommateur,2016-06-02,Prioritaire
